               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.026335,            0.012362,            0.011156,             0.61351,              0.8247,             0.66835,             0.39332,            0.018098,           0.0057293,           0.0088184,            0.006535,            0.006535,            0.006535
                  37,            0.030152,            0.012864,            0.012628,             0.58645,             0.85532,             0.66329,             0.43338,            0.018015,           0.0054137,           0.0093496,            0.006436,            0.006436,            0.006436
                  38,            0.028576,            0.012547,             0.01128,             0.65459,                0.74,             0.69567,             0.39705,            0.021721,           0.0063051,           0.0070302,            0.006337,            0.006337,            0.006337
                  39,            0.031604,            0.013982,           0.0087637,             0.74105,             0.74667,             0.70265,             0.43943,            0.025453,           0.0061224,           0.0063968,            0.006238,            0.006238,            0.006238
                  40,            0.027856,            0.012364,           0.0086398,             0.64417,             0.72099,             0.67744,             0.43323,            0.018394,           0.0055023,           0.0080134,            0.006139,            0.006139,            0.006139
                  41,             0.03322,            0.011713,             0.01059,             0.84152,             0.79987,             0.82959,             0.49879,            0.019718,           0.0058471,           0.0051221,             0.00604,             0.00604,             0.00604
                  42,             0.02685,            0.012102,            0.008697,             0.87794,             0.82688,             0.83624,             0.48371,            0.020432,           0.0061442,           0.0089905,            0.005941,            0.005941,            0.005941
                  43,            0.034016,            0.011938,           0.0084658,             0.71751,             0.81181,             0.79294,             0.46376,            0.018308,           0.0060654,            0.010729,            0.005842,            0.005842,            0.005842
                  44,            0.028984,            0.011882,           0.0093816,             0.82294,             0.81667,             0.83132,             0.49941,            0.016273,           0.0058419,           0.0085784,            0.005743,            0.005743,            0.005743
                  45,            0.034182,            0.012212,           0.0084808,             0.73775,             0.73056,             0.78096,             0.46083,            0.018803,           0.0062521,            0.014781,            0.005644,            0.005644,            0.005644
                  46,              0.0327,            0.011858,            0.011527,             0.61562,             0.75928,               0.689,             0.38747,            0.023199,           0.0071145,            0.011341,            0.005545,            0.005545,            0.005545
                  47,            0.029259,            0.012373,           0.0081244,             0.65077,             0.79102,             0.76785,             0.48766,            0.017262,           0.0063918,           0.0083494,            0.005446,            0.005446,            0.005446
                  48,            0.029269,            0.012642,             0.00743,             0.65028,              0.7674,             0.73742,             0.47778,            0.020235,           0.0066631,           0.0070019,            0.005347,            0.005347,            0.005347
                  49,            0.032663,            0.012266,           0.0078822,             0.73999,             0.72339,             0.77287,               0.431,            0.021622,            0.005739,           0.0066425,            0.005248,            0.005248,            0.005248
                  50,             0.02817,            0.012252,           0.0069292,             0.74862,             0.70049,             0.75418,             0.50428,            0.019527,           0.0049411,           0.0069108,            0.005149,            0.005149,            0.005149
                  51,            0.026121,            0.012081,           0.0085497,             0.68586,             0.77609,             0.72738,             0.51254,            0.018453,           0.0044478,           0.0066612,             0.00505,             0.00505,             0.00505
                  52,            0.028662,            0.011821,            0.010594,             0.68841,             0.77667,             0.75222,             0.48651,            0.019912,            0.005096,           0.0064849,            0.004951,            0.004951,            0.004951
                  53,            0.026594,            0.012555,           0.0060575,             0.78295,             0.76362,             0.75158,             0.50419,            0.019864,           0.0053096,           0.0078595,            0.004852,            0.004852,            0.004852
                  54,            0.026984,            0.012469,           0.0060221,             0.74045,             0.77267,             0.73602,             0.46041,            0.022545,           0.0055053,           0.0088634,            0.004753,            0.004753,            0.004753
                  55,            0.032392,              0.0126,           0.0099174,             0.84254,             0.85467,             0.83623,             0.55549,            0.016455,           0.0052612,           0.0073473,            0.004654,            0.004654,            0.004654
                  56,            0.031553,            0.011995,             0.00924,             0.74079,             0.81667,             0.80776,             0.52466,             0.01991,             0.00511,           0.0066364,            0.004555,            0.004555,            0.004555
                  57,            0.029487,            0.011996,           0.0068299,              0.7342,             0.92809,             0.85345,             0.55931,             0.01938,           0.0052595,           0.0043075,            0.004456,            0.004456,            0.004456
                  58,            0.031903,             0.01206,            0.010144,             0.90948,             0.79632,             0.88873,             0.59266,            0.020286,           0.0052195,           0.0037569,            0.004357,            0.004357,            0.004357
                  59,            0.027904,            0.012237,           0.0076946,             0.80469,             0.74264,             0.87289,             0.57192,            0.020845,           0.0052955,           0.0048721,            0.004258,            0.004258,            0.004258
                  60,            0.031018,            0.011493,           0.0060443,             0.88217,             0.65339,             0.83163,             0.57037,            0.019884,           0.0051507,           0.0072134,            0.004159,            0.004159,            0.004159
                  61,            0.028118,            0.011334,           0.0062223,             0.66324,             0.92133,             0.83307,             0.56014,            0.016766,           0.0051948,           0.0053741,             0.00406,             0.00406,             0.00406
                  62,            0.026636,            0.011009,           0.0044263,             0.72598,             0.85413,             0.83563,             0.55963,            0.019592,           0.0050055,           0.0090704,            0.003961,            0.003961,            0.003961
                  63,            0.026557,             0.01106,           0.0063005,             0.81637,             0.70821,             0.77665,             0.50589,            0.016189,           0.0052621,             0.01108,            0.003862,            0.003862,            0.003862
                  64,             0.02415,            0.011318,           0.0060996,             0.82562,             0.72595,             0.78164,             0.53438,            0.017685,            0.004763,            0.011853,            0.003763,            0.003763,            0.003763
                  65,            0.030353,            0.011276,           0.0078036,             0.77681,             0.79343,             0.81813,             0.55373,            0.018446,           0.0049489,           0.0094719,            0.003664,            0.003664,            0.003664
                  66,            0.026967,            0.010903,           0.0071617,             0.80852,             0.79849,             0.84413,             0.59366,            0.019674,           0.0046118,           0.0071653,            0.003565,            0.003565,            0.003565
                  67,            0.027012,            0.011417,           0.0068026,             0.84836,               0.792,             0.87222,             0.60735,            0.018612,           0.0047561,           0.0092796,            0.003466,            0.003466,            0.003466
                  68,            0.026677,            0.011491,           0.0080032,             0.81756,             0.80053,             0.85907,             0.57587,            0.016834,           0.0050974,           0.0099285,            0.003367,            0.003367,            0.003367
                  69,            0.025482,            0.010558,           0.0058204,             0.79922,             0.77469,             0.84998,              0.5618,            0.017133,           0.0055708,            0.012483,            0.003268,            0.003268,            0.003268
                  70,            0.028167,            0.011428,           0.0038622,              0.7916,              0.7558,              0.8274,             0.55392,            0.017592,           0.0064457,            0.010504,            0.003169,            0.003169,            0.003169
                  71,            0.024307,            0.010786,           0.0045196,             0.77656,             0.77133,             0.77406,             0.49419,            0.017262,           0.0055079,           0.0079207,             0.00307,             0.00307,             0.00307
                  72,            0.024792,            0.010683,           0.0064875,             0.81094,             0.79556,              0.8136,             0.52863,            0.016782,           0.0056787,           0.0070705,            0.002971,            0.002971,            0.002971
                  73,               0.024,            0.010868,           0.0049328,              0.7584,             0.90667,             0.86008,             0.58335,            0.016422,           0.0052115,           0.0049394,            0.002872,            0.002872,            0.002872
                  74,            0.024967,            0.011256,           0.0049962,             0.77052,             0.89018,             0.86947,             0.59638,            0.017597,           0.0048731,           0.0047784,            0.002773,            0.002773,            0.002773
                  75,            0.024389,             0.01127,           0.0041042,             0.73564,              0.8748,             0.87371,             0.58373,            0.021211,           0.0047847,           0.0054573,            0.002674,            0.002674,            0.002674
                  76,            0.027641,            0.011164,           0.0036867,             0.77719,             0.85667,             0.86233,             0.58152,            0.019109,           0.0049416,           0.0057735,            0.002575,            0.002575,            0.002575
                  77,            0.022626,            0.010761,            0.010041,              0.8111,             0.91361,             0.86827,             0.58908,            0.020351,             0.00536,           0.0049563,            0.002476,            0.002476,            0.002476
                  78,            0.027697,            0.010557,           0.0051736,             0.80926,             0.91927,              0.8936,             0.60717,            0.019331,           0.0053199,           0.0039731,            0.002377,            0.002377,            0.002377
                  79,            0.019588,            0.010246,           0.0028161,              0.8074,             0.86333,              0.9091,             0.60537,             0.01913,           0.0055667,           0.0044723,            0.002278,            0.002278,            0.002278
                  80,            0.020503,            0.010353,           0.0030361,             0.73715,             0.90536,             0.89464,             0.60505,            0.018379,           0.0054753,           0.0044968,            0.002179,            0.002179,            0.002179
                  81,            0.026927,            0.010213,           0.0039872,             0.70527,             0.86021,             0.87423,             0.61397,            0.018153,           0.0049884,           0.0051026,             0.00208,             0.00208,             0.00208
                  82,            0.021001,            0.010503,           0.0059884,             0.77781,             0.89979,              0.9131,             0.62351,            0.017451,           0.0051158,            0.004149,            0.001981,            0.001981,            0.001981
                  83,            0.018773,            0.010092,           0.0080887,             0.84843,             0.91306,             0.92725,               0.617,            0.017808,            0.005484,           0.0057427,            0.001882,            0.001882,            0.001882
                  84,            0.024901,            0.010639,           0.0042919,             0.86635,             0.90444,             0.93459,             0.64508,            0.017533,           0.0049073,            0.003052,            0.001783,            0.001783,            0.001783
                  85,            0.022774,            0.010782,           0.0039615,             0.86419,             0.83901,             0.90089,             0.59374,            0.017378,           0.0054019,           0.0045059,            0.001684,            0.001684,            0.001684
                  86,            0.029176,            0.010622,           0.0062921,             0.79794,                0.89,             0.92037,             0.60901,            0.018571,           0.0054198,           0.0041221,            0.001585,            0.001585,            0.001585
                  87,            0.022437,            0.010665,            0.002687,             0.77432,             0.92608,             0.92306,             0.60461,            0.019415,           0.0051132,           0.0045898,            0.001486,            0.001486,            0.001486
                  88,            0.022575,            0.010137,           0.0027087,             0.77661,             0.92853,             0.90723,              0.6158,             0.01931,           0.0051597,           0.0044836,            0.001387,            0.001387,            0.001387
                  89,            0.019699,            0.010508,            0.003295,             0.76635,             0.94477,             0.91529,             0.60789,            0.018947,           0.0053863,           0.0038782,            0.001288,            0.001288,            0.001288
