               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  25,            0.035948,            0.013641,            0.017339,             0.52359,             0.89333,             0.66253,             0.37398,            0.023078,           0.0061991,             0.01145,            0.005248,            0.005248,            0.005248
                  26,            0.032191,            0.011975,            0.013796,             0.83909,             0.61333,             0.69093,             0.41778,            0.019509,           0.0055556,            0.011312,             0.00505,             0.00505,             0.00505
                  27,            0.025337,            0.011964,            0.013196,              0.5454,             0.60976,             0.66174,             0.37199,            0.021712,           0.0057212,            0.011367,            0.004852,            0.004852,            0.004852
                  28,            0.030674,            0.012405,            0.017013,             0.65174,             0.66568,             0.74034,             0.48669,            0.015762,           0.0052871,            0.010188,            0.004654,            0.004654,            0.004654
                  29,            0.033968,            0.012702,            0.014938,             0.56224,             0.85655,             0.72108,             0.46193,            0.018062,           0.0053054,           0.0089462,            0.004456,            0.004456,            0.004456
                  30,            0.028132,            0.012273,            0.011119,             0.57681,             0.78778,             0.70308,             0.41763,            0.024739,           0.0062456,           0.0079375,            0.004258,            0.004258,            0.004258
                  31,            0.030544,             0.01198,            0.010984,             0.68634,             0.78726,             0.79185,             0.48198,            0.020566,           0.0059566,            0.007629,             0.00406,             0.00406,             0.00406
                  32,            0.027423,            0.012075,            0.010502,             0.74159,             0.76631,             0.80109,              0.4963,             0.02071,           0.0057061,           0.0079495,            0.003862,            0.003862,            0.003862
                  33,            0.028932,            0.012651,            0.011489,             0.78995,             0.83311,              0.8457,             0.50319,            0.018857,           0.0058325,           0.0078124,            0.003664,            0.003664,            0.003664
                  34,            0.031475,            0.012397,            0.011659,             0.70025,             0.84361,             0.84532,             0.54915,             0.01819,           0.0054727,           0.0079868,            0.003466,            0.003466,            0.003466
                  35,            0.031755,            0.012334,            0.010868,             0.74348,             0.86027,             0.82941,              0.5309,            0.021309,           0.0054792,           0.0075749,            0.003268,            0.003268,            0.003268
                  36,            0.025411,            0.011925,           0.0087515,             0.67736,             0.92022,              0.8007,             0.49242,            0.018018,           0.0056599,           0.0076436,             0.00307,             0.00307,             0.00307
                  37,            0.030327,            0.012382,            0.010449,             0.69158,             0.91842,             0.79152,             0.49609,            0.020035,           0.0052909,           0.0082986,            0.002872,            0.002872,            0.002872
                  38,            0.027698,            0.011873,           0.0086469,             0.84786,             0.85303,             0.87156,              0.5012,            0.021059,           0.0056879,            0.010794,            0.002674,            0.002674,            0.002674
                  39,            0.028685,            0.013485,           0.0086107,             0.83397,             0.78158,             0.84645,             0.54562,            0.019238,           0.0053678,            0.014128,            0.002476,            0.002476,            0.002476
                  40,            0.023851,            0.011896,           0.0080255,             0.80092,             0.85548,             0.85633,             0.55872,            0.017044,           0.0051836,            0.010084,            0.002278,            0.002278,            0.002278
                  41,            0.031658,            0.011378,           0.0091665,             0.78472,             0.85371,              0.8663,             0.53046,            0.017665,           0.0057297,           0.0086151,             0.00208,             0.00208,             0.00208
                  42,            0.023403,            0.012027,           0.0081797,             0.76144,              0.8709,             0.86492,             0.52854,            0.017972,           0.0058763,             0.01004,            0.001882,            0.001882,            0.001882
                  43,             0.03071,            0.011575,           0.0094515,             0.83089,             0.77884,             0.85548,             0.57244,            0.019697,           0.0055645,            0.012001,            0.001684,            0.001684,            0.001684
                  44,            0.024802,            0.011562,            0.009232,             0.84381,             0.81548,             0.87783,             0.57392,            0.018708,           0.0054368,            0.011886,            0.001486,            0.001486,            0.001486
                  45,             0.02573,            0.011735,           0.0071211,             0.78753,             0.83352,             0.86093,             0.58708,            0.018033,           0.0051657,            0.011512,            0.001288,            0.001288,            0.001288
                  46,            0.028316,             0.01114,           0.0088124,             0.83302,             0.85308,             0.86189,             0.58333,            0.016853,            0.005414,            0.010675,             0.00109,             0.00109,             0.00109
                  47,            0.026394,            0.011857,           0.0069834,             0.81034,             0.82239,             0.85269,             0.58161,            0.016182,           0.0053523,            0.010125,            0.000892,            0.000892,            0.000892
                  48,            0.025814,            0.011907,           0.0066048,             0.81254,             0.83989,             0.85656,             0.59397,            0.016603,           0.0052156,           0.0093072,            0.000694,            0.000694,            0.000694
                  49,            0.024023,             0.01153,           0.0069722,             0.82994,             0.84923,             0.85754,             0.59009,            0.016444,           0.0052667,           0.0085135,            0.000496,            0.000496,            0.000496
