               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086216,            0.031744,             0.04159,           0.0027309,             0.28333,           0.0077752,           0.0020825,            0.042298,            0.023336,             0.02894,              0.0865,              0.0015,              0.0015
                   1,            0.066794,            0.030749,            0.043289,           0.0033118,                0.45,            0.060868,            0.016487,            0.038549,            0.019002,            0.027466,            0.072039,           0.0030386,           0.0030386
                   2,            0.047795,            0.027306,            0.036625,              0.1961,             0.49018,             0.20091,            0.078764,            0.029315,            0.015248,            0.026136,            0.057514,           0.0045139,           0.0045139
                   3,             0.05066,            0.021705,            0.039871,             0.26002,             0.40522,             0.29042,             0.11557,            0.027603,            0.012566,            0.024883,            0.042926,           0.0059258,           0.0059258
                   4,            0.047014,            0.020312,            0.039236,            0.040083,                0.37,            0.099372,            0.025976,              0.0655,            0.011095,             0.02519,            0.028274,           0.0072743,           0.0072743
                   5,            0.051685,            0.018378,            0.035628,             0.24447,             0.47938,             0.34778,             0.11032,            0.036722,           0.0094221,            0.026645,             0.01356,           0.0085595,           0.0085595
                   6,            0.055889,            0.017675,            0.033027,             0.29239,             0.52465,             0.41335,             0.16891,            0.041516,           0.0085135,            0.027154,            0.008812,            0.008812,            0.008812
                   7,            0.046192,            0.020066,            0.032716,             0.25347,             0.65667,             0.42733,             0.18654,            0.037058,            0.010123,            0.027239,            0.008812,            0.008812,            0.008812
                   8,             0.04263,            0.017103,            0.031316,             0.18519,             0.61667,             0.41186,             0.15427,            0.030534,           0.0086526,             0.02383,            0.008614,            0.008614,            0.008614
                   9,            0.041198,            0.016691,            0.029971,             0.66809,              0.4626,             0.46682,             0.26742,            0.042715,           0.0069639,            0.017008,            0.008416,            0.008416,            0.008416
                  10,            0.042741,            0.015833,            0.026573,             0.30373,                0.55,             0.45126,             0.23458,            0.033078,           0.0065731,            0.018491,            0.008218,            0.008218,            0.008218
                  11,            0.044434,            0.014987,            0.026146,             0.32963,             0.66896,             0.52758,             0.23392,            0.034257,           0.0074148,            0.017955,             0.00802,             0.00802,             0.00802
                  12,            0.039492,            0.014772,            0.025672,             0.42361,              0.8118,             0.61747,             0.31092,            0.021589,           0.0075076,            0.019739,            0.007822,            0.007822,            0.007822
                  13,            0.041395,             0.01482,            0.023903,             0.49259,             0.96653,             0.59741,             0.32425,            0.022459,           0.0067073,            0.015685,            0.007624,            0.007624,            0.007624
                  14,            0.040547,             0.01594,             0.02349,             0.40378,             0.80333,              0.5501,              0.2941,            0.025044,           0.0063449,            0.015344,            0.007426,            0.007426,            0.007426
                  15,            0.034896,               0.015,              0.0213,             0.38485,             0.70418,             0.56017,             0.29015,            0.035751,           0.0061519,             0.02429,            0.007228,            0.007228,            0.007228
                  16,            0.037335,            0.014265,            0.018305,               0.451,                0.67,             0.60837,              0.3485,            0.024756,            0.006385,            0.023147,             0.00703,             0.00703,             0.00703
                  17,            0.037519,            0.014128,            0.017584,             0.49261,             0.69333,             0.60367,             0.36162,            0.021554,           0.0064225,            0.016769,            0.006832,            0.006832,            0.006832
                  18,            0.036777,            0.013317,            0.017814,             0.47307,             0.73136,             0.62633,              0.3802,            0.017907,           0.0061335,            0.010637,            0.006634,            0.006634,            0.006634
                  19,            0.037957,            0.013635,            0.019419,             0.53022,             0.81254,             0.68493,             0.42509,            0.017386,           0.0058818,           0.0094148,            0.006436,            0.006436,            0.006436
                  20,            0.035427,            0.013519,            0.016834,             0.54176,             0.65667,             0.58345,             0.35745,            0.021424,           0.0072397,            0.009779,            0.006238,            0.006238,            0.006238
                  21,             0.03835,            0.013485,            0.017698,             0.50643,             0.91594,             0.68314,             0.43126,             0.02668,            0.005599,           0.0089081,             0.00604,             0.00604,             0.00604
                  22,            0.036643,            0.013634,            0.016975,             0.46745,                0.99,             0.63607,             0.37337,            0.022208,           0.0055264,            0.008526,            0.005842,            0.005842,            0.005842
                  23,            0.032911,            0.012904,            0.017023,              0.5354,             0.97701,             0.67694,             0.42767,            0.017699,           0.0053311,             0.01349,            0.005644,            0.005644,            0.005644
                  24,            0.030927,            0.012046,            0.016124,             0.53916,             0.98444,             0.68955,             0.40467,            0.029252,           0.0053209,            0.014189,            0.005446,            0.005446,            0.005446
